name,address,city,state,zip,lat,lon,tel,url
Redondo Beach Marina,181 N. Harbor Drive,Redondo Beach,CA,90277,33.841464,-118.391074,310-374-3481,www.rbmarina.com
Safe Harbor Cabrillo Isle,1450 Harbor Island Drive,San Diego,CA,92101,32.726585,-117.20088,619-297-6222,www.shmarinas.com
Coronado Yacht Club,1631 Strand Way,Coronado,CA,92118,32.681444,-117.173925,619-435-1848,www.coronadoyc.org
Dana West Yacht Club,24601 Dana Drive,Dana Point,CA,92629,33.459978,-117.701719,949-661-1185,www.dwyc.org
Harbor Island West Marina,2040 Harbor Island Drive,San Diego,CA,92101,32.725833,-117.211728,619-291-6440,www.harborislandwest.com
Oceanside Yacht Club,1850 Harbor Drive North,Oceanside,CA,92054,33.210814,-117.397083,760-772-5751,www.oceansideyc.com
San Diego Yacht Club,1011 Anchorage Lane,San Diego,CA,92106,32.718936,-117.229587,619-221-8400,www.sdyc.org
Southwestern Yacht Club,2702 Qualtrough Street,San Diego,CA,92106,32.718936,-117.229587,619-222-0438,www.southwesternyc.org
Berkeley Yacht Club,One Seawall Drive,Berkeley,CA,94710,37.866028,-122.31644,510-843-9292,www.berkeleyyc.org
Channel Islands Yacht Club,4100 South Harbor Blvd,Oxnard,CA,93035,34.163608,-119.226056,805-985-2492,www.ciyc.com
Huntington Harbour Yacht Club,3821 Warner Ave.,Huntington Beach,CA,92649,33.712335,-118.061446,562-592-2186,https://www.hhyc.org/
Portland Yacht Club,1241 NE Marine Drive,Portland,OR,97211,45.601842,-122.652628,503-285-1922,www.portlandyc.com
Balboa Yacht Club,1801 Bayside Drive,Corona Del Mar,CA,92625,33.604104,-117.882961,949-673-3515,https://www.balboayachtclub.com/
South Beach Yacht Club,Pier 40 on The Embarcadero,San Francisco,CA,94107,37.7803,-122.38791,415-495-2295,http://www.southbeachyachtclub.org/
San Francisco Yacht Club,98 Beach Rd,Belvedere,CA,94920,37.871789,-122.463264,415-435-9133,www.sfyc.org
Sierra Point Yacht Club,500 Sierra Point Parkway,Brisbane,CA,94005,37.673303,-122.38213,650-952-0651,www.sierrapointyc.org
Seattle Yacht Club,1807 E Hamlin St.,Seattle,WA,98112,47.645802,-122.30999,206-325-1000,www.seattleyachtclub.org
Tampa Yacht & Country Club,5320 Interbay Blvd,Tampa,FL,33611,27.887299,-82.479241,813-831-1611,www.tampayacht.com
Fontainebleau Marina,4441 Collins Avenue,Miami Beach,FL,33140,25.817949429029,-80.1234999607677,305-538-2022,www.fontainbleaumarina.com
Morro Bay Yacht Club,541 Embarcadero,Morro Bay,CA,93422,35.3627550537967,-120.852791914804,805-772-3981,https://www.mbyc.net/
Biddeford Pool Yacht Club,17 Yates Street,Biddeford Pool,ME,4006,43.446361,-70.355125,207-282-0485,www.biddefordpoolyachtclub.org
Boothbay Harbor Yacht Club,156 Western Avenue,West Boothbay Harbor,ME,4575,43.847168,-69.644168,207-633-5750,www.bhyc.net
Agamenticus Yacht Club,P.O. Box 534,York Harbor,ME,3911,43.132358,-70.641481,207-363-8510,www.aycsail.org
Liberty Landing Marina,80 Audrey Zapp Drive,Jersey City,NJ,7305,40.71171,-74.046268,201-985-8000,www.libertylandingmarina.com
Beach Haven Yacht Club Marina,Engleside Avenue,Beach Haven,NJ,8008,39.565658,-74.246467,609-492-9101,www.beachhavenyachtclubmarina.com
Manhattan Harbour Yacht Club,1301 4th Ave,Dayton,KY,41074,39.116845,-84.459007,859-468-1471,www.manhattanharbourky.com
New Bridge Marina,6325 Bridgehead Rd,Antioch,CA,94509,38.0183443466043,-121.752645515455,925-757-1500,www.newbridgemarina.com
Newport Harbor Yacht Club,720 West Bay,Ave,CA,92661,33.6058006,-117.9089966,949-673-7730,www.nhyc.org
Oakland Yacht Club,1 Pacific Marina,Alameda,CA,94501,37.7837561006748,-122.263902561922,510-522-6868,www.oaklandyachtclub.com
Ox Bow Yacht Club,100 Ox Bow Marina Drive,Isleton,CA,95641,38.151,-121.591,916-777-5685,www.oxbowyachtclub.com
Pacific Corinthian Yacht Club,2600 South Harbor Blvd,Channel Islands,CA,93035,34.1748172552586,-119.22849973944,805-985-7292,https://www.pcyc.org/
Shoreline Yacht Club,386 Shoreline Drive South,Long Beach,CA,90802,33.7610184782184,-118.185773435809,562-432-2544,www.shorelineyachtclub.com
